name,tensors,axes,primitives,schedule,invokes,einsum
contraction_abc_bda_dc,in0:f32;in1:f32;out:f32,a:384;c:24;b:384;d:384,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,abc-bda-dc
contraction_abc_dca_bd,in0:f32;in1:f32;out:f32,a:384;c:376;b:24;d:384,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,abc-dca-bd
contraction_abcd_dbea_ec,in0:f32;in1:f32;out:f32,a:96;c:24;b:84;e:96;d:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abcd-dbea-ec
contraction_abcd_deca_be,in0:f32;in1:f32;out:f32,a:96;c:84;b:24;e:84;d:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abcd-deca-be
contraction_abcd_ebad_ce,in0:f32;in1:f32;out:f32,a:96;c:24;b:84;e:96;d:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abcd-ebad-ce
contraction_abcde_efbad_cf,in0:f32;in1:f32;out:f32,a:48;c:24;b:36;e:48;d:36;f:36,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcde-efbad-cf
contraction_abcde_ecbfa_fd,in0:f32;in1:f32;out:f32,a:48;c:36;b:36;e:48;d:24;f:48,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcde-ecbfa-fd
contraction_abcde_efcad_bf,in0:f32;in1:f32;out:f32,a:48;c:36;b:24;e:48;d:36;f:36,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcde-efcad-bf
contraction_abcd_ea_ebcd,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:96;d:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abcd-ea-ebcd
contraction_abcd_eb_aecd,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:96;d:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abcd-eb-aecd
contraction_abcd_ec_abed,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:96;d:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abcd-ec-abed
contraction_ab_ac_cb,in0:f32;in1:f32;out:f32,a:7248;c:7248;b:7240,zero;gemm,a:sequential;b:sequential;c:sequential,zero;gemm,ab-ac-cb
contraction_ab_acd_dbc,in0:f32;in1:f32;out:f32,a:384;c:376;b:376;d:384,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,ab-acd-dbc
contraction_ab_cad_dcb,in0:f32;in1:f32;out:f32,a:384;c:384;b:376;d:384,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,ab-cad-dcb
contraction_abc_acd_db,in0:f32;in1:f32;out:f32,a:384;c:376;b:376;d:384,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,abc-acd-db
contraction_abc_ad_bdc,in0:f32;in1:f32;out:f32,a:384;c:376;b:384;d:376,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,abc-ad-bdc
contraction_abc_adc_bd,in0:f32;in1:f32;out:f32,a:384;c:376;b:384;d:376,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,abc-adc-bd
contraction_abc_adc_db,in0:f32;in1:f32;out:f32,a:384;c:376;b:376;d:384,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential,zero;gemm,abc-adc-db
contraction_abc_adec_ebd,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:96;d:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential,zero;gemm,abc-adec-ebd
contraction_abcd_aebf_dfce,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:84;d:96;f:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aebf-dfce
contraction_abcd_aebf_fdec,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:84;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aebf-fdec
contraction_abcd_aecf_bfde,in0:f32;in1:f32;out:f32,a:96;c:84;b:96;e:84;d:84;f:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aecf-bfde
contraction_abcd_aecf_fbed,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:84;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aecf-fbed
contraction_abcd_aedf_bfce,in0:f32;in1:f32;out:f32,a:96;c:84;b:96;e:84;d:84;f:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aedf-bfce
contraction_abcd_aedf_fbec,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:84;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aedf-fbec
contraction_abcd_aefb_fdce,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:84;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aefb-fdce
contraction_abcd_aefc_fbed,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:84;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-aefc-fbed
contraction_abcd_eafb_fdec,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:96;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-eafb-fdec
contraction_abcd_eafc_bfde,in0:f32;in1:f32;out:f32,a:96;c:84;b:96;e:96;d:84;f:84,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-eafc-bfde
contraction_abcd_eafd_fbec,in0:f32;in1:f32;out:f32,a:96;c:84;b:84;e:96;d:84;f:96,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential,zero;gemm,abcd-eafd-fbec
contraction_abcdef_dega_gfbc,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-dega-gfbc
contraction_abcdef_degb_gfac,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-degb-gfac
contraction_abcdef_degc_gfab,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-degc-gfab
contraction_abcdef_dfga_gebc,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-dfga-gebc
contraction_abcdef_dfgb_geac,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-dfgb-geac
contraction_abcdef_dfgc_geab,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-dfgc-geab
contraction_abcdef_efga_gdbc,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:24;d:20;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-efga-gdbc
contraction_abcdef_efgb_gdac,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:24;d:20;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-efgb-gdac
contraction_abcdef_efgc_gdab,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:24;d:20;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-efgc-gdab
contraction_abcdef_gdab_efgc,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:24;d:20;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-gdab-efgc
contraction_abcdef_gdac_efgb,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:24;d:20;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-gdac-efgb
contraction_abcdef_gdbc_efga,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:24;d:20;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-gdbc-efga
contraction_abcdef_geab_dfgc,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-geab-dfgc
contraction_abcdef_geac_dfgb,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-geac-dfgb
contraction_abcdef_gebc_dfga,in0:f32;in1:f32;out:f32,a:24;c:20;b:20;e:20;d:24;g:24;f:20,zero;gemm,a:sequential;b:sequential;c:sequential;d:sequential;e:sequential;f:sequential;g:sequential,zero;gemm,abcdef-gebc-dfga
