strategy,config,runtime_ms,gflops,cost_estimate_ms
RandomSearch,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.484946,4.32451,1.06955
RandomSearch,split_d8_order_b-c-a-d0-d1_parallel_c_unroll_16,1.43689,1.45951,11.0679
RandomSearch,split_d8_order_b-a-c-d0-d1_parallel_b_unroll_1,0.0527019,39.7927,10.5646
RandomSearch,split_d8_order_c-b-a-d0-d1_parallel_c_unroll_8,0.0553228,37.9075,11.0679
RandomSearch,split_d2_order_b-a-c-d0-d1_parallel_c_unroll_2,46.9747,0.0446443,11.0679
RandomSearch,split_d16_order_a-b-c-d0-d1_parallel_d0_unroll_2,1465.78,0.00143074,1.39842
RandomSearch,split_d4_order_b-a-c-d0-d1_parallel_b_unroll_1,0.0493258,42.5163,10.5646
RandomSearch,split_d2_order_a-c-b-d0-d1_parallel_b_unroll_8,45.7081,0.0458814,11.0679
RandomSearch,split_d4_order_c-a-b-d0-d1_parallel_c_unroll_4,0.0963444,21.7672,11.0679
RandomSearch,split_d4_order_b-a-c-d0-d1_parallel_b_unroll_4,0.0503235,41.6734,11.0679
RandomSearch,split_d4_order_b-c-a-d0-d1_parallel_none_unroll_16,0.0587256,35.711,1.12302
RandomSearch,split_d8_order_c-a-b-d0-d1_parallel_b_unroll_8,46.3106,0.0452845,11.0679
RandomSearch,split_d16_order_c-b-a-d0-d1_parallel_d0_unroll_1,1478.81,0.00141814,1.35564
RandomSearch,split_d2_order_a-c-b-d0-d1_parallel_a_unroll_8,0.102293,20.5014,11.0679
RandomSearch,split_d1_order_b-c-a-d0-d1_parallel_c_unroll_1,1.43012,1.46642,12.3407
RandomSearch,split_d8_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0637376,32.9029,1.06955
RandomSearch,split_d4_order_c-a-b-d0-d1_parallel_a_unroll_1,1.59704,1.31315,10.5646
RandomSearch,split_d8_order_b-c-a-d0-d1_parallel_b_unroll_4,0.0635221,33.0145,11.0679
RandomSearch,split_d1_order_b-c-a-d0-d1_parallel_d0_unroll_2,0.233762,8.97132,1.55696
RandomSearch,split_d32_order_b-c-a-d0-d1_parallel_d0_unroll_1,1489.09,0.00140835,1.35564
RandomSearch,split_d1_order_a-c-b-d0-d1_parallel_a_unroll_1,0.109147,19.214,12.3407
RandomSearch,split_d32_order_b-a-c-d0-d1_parallel_a_unroll_4,1.43884,1.45753,11.0679
RandomSearch,split_d1_order_b-a-c-d0-d1_parallel_d0_unroll_2,0.224002,9.36219,1.55696
RandomSearch,split_d16_order_c-b-a-d0-d1_parallel_c_unroll_2,0.0724055,28.964,11.0679
RandomSearch,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_16,0.0564875,37.1259,1.12302
RandomSearch,split_d32_order_c-a-b-d0-d1_parallel_none_unroll_16,0.43495,4.82159,1.12302
RandomSearch,split_d1_order_a-b-c-d0-d1_parallel_c_unroll_2,46.3368,0.0452589,12.9328
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0558104,37.5763,0.118115
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.053075,39.513,0.138958
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.408752,5.13062,0.138958
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_1,0.397953,5.26985,0.138958
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_1,0.39735,5.27784,0.118115
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.362637,5.78306,0.12402
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_2,0.408482,5.13401,0.12402
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_2,0.406855,5.15454,0.12402
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_2,0.390364,5.3723,0.12402
