name,gflops,status,seconds,timestamp
contraction_abc_bda_dc,28.9288,partial-timeout,300.7,2026-07-09 03:00:20
contraction_abc_dca_bd,4.0149,partial-timeout,300.9,2026-07-09 03:05:21
contraction_abcd_dbea_ec,20.5556,partial-timeout,300.9,2026-07-09 03:10:22
contraction_abcd_deca_be,5.1246,partial-timeout,300.9,2026-07-09 03:15:23
contraction_abcd_ebad_ce,35.7520,partial-timeout,300.9,2026-07-09 03:20:24
contraction_abcde_efbad_cf,,FAIL:no-success,5.1,2026-07-09 03:20:29
contraction_abcde_ecbfa_fd,,FAIL:no-success,4.8,2026-07-09 03:20:34
contraction_abcde_efcad_bf,,FAIL:no-success,5.1,2026-07-09 03:20:39
contraction_abcd_ea_ebcd,50.2820,partial-timeout,300.8,2026-07-09 03:25:40
contraction_abcd_eb_aecd,71.8880,partial-timeout,300.6,2026-07-09 03:30:40
contraction_abcd_ec_abed,61.8387,partial-timeout,300.7,2026-07-09 03:35:41
contraction_ab_ac_cb,,TIMEOUT,301.0,2026-07-09 03:40:42
contraction_ab_acd_dbc,27.0715,partial-timeout,301.0,2026-07-09 03:45:43
contraction_ab_cad_dcb,,TIMEOUT,300.8,2026-07-09 03:50:44
contraction_abc_acd_db,52.8258,partial-timeout,301.0,2026-07-09 03:55:45
contraction_abc_ad_bdc,47.2200,partial-timeout,301.1,2026-07-09 04:00:46
contraction_abc_adc_bd,54.1620,partial-timeout,301.0,2026-07-09 04:05:47
contraction_abc_adc_db,42.2568,partial-timeout,301.1,2026-07-09 04:10:48
contraction_abc_adec_ebd,25.0791,partial-timeout,300.9,2026-07-09 04:15:49
contraction_abcd_aebf_dfce,,TIMEOUT,301.0,2026-07-09 04:20:50
contraction_abcd_aebf_fdec,,TIMEOUT,300.8,2026-07-09 04:25:50
contraction_abcd_aecf_bfde,,TIMEOUT,301.0,2026-07-09 04:30:51
contraction_abcd_aecf_fbed,,TIMEOUT,301.0,2026-07-09 04:35:52
contraction_abcd_aedf_bfce,,TIMEOUT,301.0,2026-07-09 04:40:54
contraction_abcd_aedf_fbec,,TIMEOUT,301.1,2026-07-09 04:45:55
contraction_abcd_aefb_fdce,,TIMEOUT,301.2,2026-07-09 04:50:56
contraction_abcd_aefc_fbed,,TIMEOUT,300.8,2026-07-09 04:55:57
contraction_abcd_eafb_fdec,,TIMEOUT,300.8,2026-07-09 05:00:57
contraction_abcd_eafc_bfde,,TIMEOUT,301.1,2026-07-09 05:05:58
contraction_abcd_eafd_fbec,,TIMEOUT,300.8,2026-07-09 05:10:59
contraction_abcdef_dega_gfbc,62.1166,partial-timeout,300.8,2026-07-09 05:16:00
contraction_abcdef_degb_gfac,63.8866,partial-timeout,300.7,2026-07-09 05:21:01
contraction_abcdef_degc_gfab,60.1505,partial-timeout,300.7,2026-07-09 05:26:01
contraction_abcdef_dfga_gebc,66.2584,partial-timeout,300.7,2026-07-09 05:31:02
contraction_abcdef_dfgb_geac,67.0459,partial-timeout,300.6,2026-07-09 05:36:03
contraction_abcdef_dfgc_geab,66.6020,partial-timeout,300.5,2026-07-09 05:41:03
contraction_abcdef_efga_gdbc,32.2629,partial-timeout,300.8,2026-07-09 05:46:04
contraction_abcdef_efgb_gdac,35.9745,partial-timeout,300.9,2026-07-09 05:51:05
contraction_abcdef_efgc_gdab,36.8636,partial-timeout,300.9,2026-07-09 05:56:06
contraction_abcdef_gdab_efgc,36.7559,partial-timeout,300.7,2026-07-09 06:01:07
contraction_abcdef_gdac_efgb,35.8816,partial-timeout,300.8,2026-07-09 06:06:07
contraction_abcdef_gdbc_efga,33.9886,partial-timeout,300.8,2026-07-09 06:11:08
contraction_abcdef_geab_dfgc,67.4892,partial-timeout,300.8,2026-07-09 06:16:09
contraction_abcdef_geac_dfgb,66.8401,partial-timeout,300.7,2026-07-09 06:21:10
contraction_abcdef_gebc_dfga,67.1588,partial-timeout,300.8,2026-07-09 06:26:10
contraction_abcdef_gfab_degc,61.5634,partial-timeout,300.7,2026-07-09 06:31:11
contraction_abcdef_gfac_degb,61.0141,partial-timeout,300.6,2026-07-09 06:36:12
contraction_abcdef_gfbc_dega,61.5495,partial-timeout,300.7,2026-07-09 06:41:12
