name,gflops,status,seconds,timestamp
contraction_abc_bda_dc,30.3184,partial-timeout,300.3,2026-07-08 23:14:35
contraction_abc_dca_bd,11.0559,partial-timeout,300.3,2026-07-08 23:19:36
contraction_abcd_dbea_ec,25.7628,partial-timeout,300.2,2026-07-08 23:24:36
contraction_abcd_deca_be,5.2350,partial-timeout,300.3,2026-07-08 23:29:36
contraction_abcd_ebad_ce,39.6099,partial-timeout,300.1,2026-07-08 23:34:36
contraction_abcde_efbad_cf,,FAIL:no-success,5.5,2026-07-08 23:34:42
contraction_abcde_ecbfa_fd,,FAIL:no-success,5.0,2026-07-08 23:34:47
contraction_abcde_efcad_bf,,FAIL:no-success,5.3,2026-07-08 23:34:52
contraction_abcd_ea_ebcd,58.3499,partial-timeout,300.3,2026-07-08 23:39:52
contraction_abcd_eb_aecd,64.1539,partial-timeout,300.2,2026-07-08 23:44:53
contraction_abcd_ec_abed,60.8537,partial-timeout,300.2,2026-07-08 23:49:53
contraction_ab_ac_cb,,TIMEOUT,300.7,2026-07-08 23:54:53
contraction_ab_acd_dbc,25.2071,partial-timeout,300.8,2026-07-08 23:59:54
contraction_ab_cad_dcb,,TIMEOUT,300.4,2026-07-09 00:04:55
contraction_abc_acd_db,49.8039,partial-timeout,300.8,2026-07-09 00:09:55
contraction_abc_ad_bdc,44.5003,partial-timeout,300.8,2026-07-09 00:14:56
contraction_abc_adc_bd,42.6489,partial-timeout,300.8,2026-07-09 00:19:57
contraction_abc_adc_db,37.7655,partial-timeout,300.8,2026-07-09 00:24:58
contraction_abc_adec_ebd,20.3857,partial-timeout,300.8,2026-07-09 00:29:59
contraction_abcd_aebf_dfce,,TIMEOUT,300.7,2026-07-09 00:34:59
contraction_abcd_aebf_fdec,,TIMEOUT,300.5,2026-07-09 00:40:00
contraction_abcd_aecf_bfde,,TIMEOUT,300.9,2026-07-09 00:45:01
contraction_abcd_aecf_fbed,,TIMEOUT,301.0,2026-07-09 00:50:02
contraction_abcd_aedf_bfce,,TIMEOUT,301.0,2026-07-09 00:55:03
contraction_abcd_aedf_fbec,,TIMEOUT,301.0,2026-07-09 01:00:04
contraction_abcd_aefb_fdce,,TIMEOUT,300.9,2026-07-09 01:05:05
contraction_abcd_aefc_fbed,,TIMEOUT,300.8,2026-07-09 01:10:05
contraction_abcd_eafb_fdec,,TIMEOUT,301.0,2026-07-09 01:15:06
contraction_abcd_eafc_bfde,,TIMEOUT,301.1,2026-07-09 01:20:08
contraction_abcd_eafd_fbec,,TIMEOUT,301.1,2026-07-09 01:25:09
contraction_abcdef_dega_gfbc,48.4890,partial-timeout,300.9,2026-07-09 01:30:09
contraction_abcdef_degb_gfac,54.5718,partial-timeout,300.8,2026-07-09 01:35:10
contraction_abcdef_degc_gfab,54.1346,partial-timeout,300.9,2026-07-09 01:40:11
contraction_abcdef_dfga_gebc,62.8421,partial-timeout,300.9,2026-07-09 01:45:12
contraction_abcdef_dfgb_geac,63.8911,partial-timeout,300.8,2026-07-09 01:50:13
contraction_abcdef_dfgc_geab,63.8771,partial-timeout,300.7,2026-07-09 01:55:13
contraction_abcdef_efga_gdbc,33.3325,partial-timeout,300.4,2026-07-09 02:00:14
contraction_abcdef_efgb_gdac,36.5207,partial-timeout,300.7,2026-07-09 02:05:14
contraction_abcdef_efgc_gdab,35.5735,partial-timeout,300.2,2026-07-09 02:10:15
contraction_abcdef_gdab_efgc,36.1681,partial-timeout,300.2,2026-07-09 02:15:15
contraction_abcdef_gdac_efgb,34.1543,partial-timeout,300.2,2026-07-09 02:20:15
contraction_abcdef_gdbc_efga,32.3846,partial-timeout,300.3,2026-07-09 02:25:15
contraction_abcdef_geab_dfgc,68.7559,partial-timeout,300.4,2026-07-09 02:30:16
contraction_abcdef_geac_dfgb,67.3907,partial-timeout,300.7,2026-07-09 02:35:17
contraction_abcdef_gebc_dfga,65.7815,partial-timeout,300.6,2026-07-09 02:40:17
contraction_abcdef_gfab_degc,56.0588,partial-timeout,300.7,2026-07-09 02:45:18
contraction_abcdef_gfac_degb,51.1553,partial-timeout,300.9,2026-07-09 02:50:19
contraction_abcdef_gfbc_dega,57.6831,partial-timeout,300.7,2026-07-09 02:55:19
