name,gflops,status,seconds,timestamp
contraction_abc_bda_dc,37.0230,ok,346.3,2026-08-02 03:38:00
contraction_abc_dca_bd,14.2442,ok,506.6,2026-08-02 03:46:26
contraction_abcd_dbea_ec,62.2959,ok,88.2,2026-08-02 03:47:55
contraction_abcd_deca_be,79.6188,ok,177.4,2026-08-02 03:50:52
contraction_abcd_ebad_ce,41.1127,ok,153.3,2026-08-02 03:53:25
contraction_abcde_efbad_cf,,FAIL:no-success,7.0,2026-08-02 03:53:32
contraction_abcde_ecbfa_fd,,FAIL:no-success,6.7,2026-08-02 03:53:39
contraction_abcde_efcad_bf,,FAIL:no-success,7.3,2026-08-02 03:53:46
contraction_abcd_ea_ebcd,73.7393,ok,274.3,2026-08-02 03:58:21
contraction_abcd_eb_aecd,74.8948,partial-timeout,1801.9,2026-08-02 04:28:22
contraction_abcd_ec_abed,69.9982,ok,346.9,2026-08-02 04:34:09
contraction_ab_acd_dbc,33.2499,ok,107.5,2026-08-02 04:35:57
contraction_ab_cad_dcb,5.0216,ok,477.1,2026-08-02 04:43:54
contraction_abc_acd_db,55.2307,partial-timeout,1801.9,2026-08-02 05:13:56
contraction_abc_ad_bdc,48.3157,partial-timeout,1801.9,2026-08-02 05:43:58
contraction_abc_adc_bd,49.3251,partial-timeout,1801.9,2026-08-02 06:14:00
contraction_abc_adc_db,42.3112,partial-timeout,1801.9,2026-08-02 06:44:02
contraction_abc_adec_ebd,29.3892,ok,91.7,2026-08-02 06:45:33
contraction_abcdef_dega_gfbc,66.1761,partial-timeout,1801.9,2026-08-02 07:15:35
contraction_abcdef_degb_gfac,69.1961,partial-timeout,1801.9,2026-08-02 07:45:37
contraction_abcdef_degc_gfab,68.7015,partial-timeout,1801.9,2026-08-02 08:15:39
contraction_abcdef_dfga_gebc,73.1623,partial-timeout,1801.9,2026-08-02 08:45:41
contraction_abcdef_dfgb_geac,73.9198,partial-timeout,1801.9,2026-08-02 09:15:43
contraction_abcdef_dfgc_geab,74.0062,partial-timeout,1801.8,2026-08-02 09:45:45
contraction_abcdef_efga_gdbc,34.4393,partial-timeout,1801.9,2026-08-02 10:15:46
contraction_abcdef_efgb_gdac,38.9501,partial-timeout,1800.4,2026-08-02 10:45:47
contraction_abcdef_efgc_gdab,35.5344,partial-timeout,1801.5,2026-08-02 11:15:48
contraction_abcdef_gdab_efgc,34.4946,partial-timeout,1801.9,2026-08-02 11:45:50
contraction_abcdef_gdac_efgb,35.4549,partial-timeout,1801.2,2026-08-02 12:15:51
contraction_abcdef_gdbc_efga,35.8940,partial-timeout,1800.3,2026-08-02 12:45:52
contraction_abcdef_geab_dfgc,69.1946,partial-timeout,1801.5,2026-08-02 13:15:53
contraction_abcdef_geac_dfgb,73.9168,partial-timeout,1800.3,2026-08-02 13:45:54
contraction_abcdef_gebc_dfga,66.3906,partial-timeout,1801.9,2026-08-02 14:15:55
contraction_abcdef_gfab_degc,55.1603,partial-timeout,1802.0,2026-08-02 14:45:57
contraction_abcdef_gfac_degb,64.8716,partial-timeout,1800.2,2026-08-02 15:15:58
contraction_abcdef_gfbc_dega,67.8196,partial-timeout,1800.6,2026-08-02 15:45:58
