name,gflops,status,seconds,timestamp
contraction_abc_bda_dc,42.0980,ok,558.5,2026-08-02 15:55:17
contraction_abc_dca_bd,13.9660,ok,656.2,2026-08-02 16:06:13
contraction_abcd_dbea_ec,5.4547,ok,1191.9,2026-08-02 16:26:05
contraction_abcd_deca_be,17.3991,ok,833.8,2026-08-02 16:39:59
contraction_abcd_ebad_ce,26.2305,ok,808.1,2026-08-02 16:53:27
contraction_abcde_efbad_cf,,FAIL:no-success,6.1,2026-08-02 16:53:33
contraction_abcde_ecbfa_fd,,FAIL:no-success,6.2,2026-08-02 16:53:39
contraction_abcde_efcad_bf,,FAIL:no-success,6.2,2026-08-02 16:53:45
contraction_abcd_ea_ebcd,39.7632,partial-timeout,1800.3,2026-08-02 17:23:45
contraction_abcd_eb_aecd,74.3243,partial-timeout,1801.9,2026-08-02 17:53:47
contraction_abcd_ec_abed,62.3994,partial-timeout,1800.6,2026-08-02 18:23:48
contraction_ab_acd_dbc,29.8700,ok,105.2,2026-08-02 18:25:33
contraction_ab_cad_dcb,6.4005,ok,468.8,2026-08-02 18:33:22
contraction_abc_acd_db,2.0038,partial-timeout,1801.9,2026-08-02 19:03:24
contraction_abc_ad_bdc,,TIMEOUT,1801.6,2026-08-02 19:33:25
contraction_abc_adc_bd,,TIMEOUT,1801.9,2026-08-02 20:03:27
contraction_abc_adc_db,3.7441,partial-timeout,1801.9,2026-08-02 20:33:29
contraction_abc_adec_ebd,31.1650,ok,83.2,2026-08-02 20:34:52
contraction_abcdef_dega_gfbc,67.0836,partial-timeout,1801.8,2026-08-02 21:04:54
contraction_abcdef_degb_gfac,64.2507,partial-timeout,1801.9,2026-08-02 21:34:56
contraction_abcdef_degc_gfab,60.5237,partial-timeout,1800.7,2026-08-02 22:04:57
contraction_abcdef_dfga_gebc,72.2453,partial-timeout,1801.6,2026-08-02 22:34:58
contraction_abcdef_dfgb_geac,70.0490,partial-timeout,1800.3,2026-08-02 23:04:59
contraction_abcdef_dfgc_geab,72.6206,partial-timeout,1801.9,2026-08-02 23:35:01
contraction_abcdef_efga_gdbc,53.2421,partial-timeout,1801.9,2026-08-03 00:05:02
contraction_abcdef_efgb_gdac,57.0042,partial-timeout,1801.9,2026-08-03 00:35:04
contraction_abcdef_efgc_gdab,53.5086,partial-timeout,1801.9,2026-08-03 01:05:06
contraction_abcdef_gdab_efgc,54.9650,partial-timeout,1801.9,2026-08-03 01:35:08
contraction_abcdef_gdac_efgb,56.0920,partial-timeout,1801.7,2026-08-03 02:05:10
contraction_abcdef_gdbc_efga,46.6231,partial-timeout,1801.9,2026-08-03 02:35:12
contraction_abcdef_geab_dfgc,67.9987,partial-timeout,1801.8,2026-08-03 03:05:13
contraction_abcdef_geac_dfgb,74.0387,partial-timeout,1801.8,2026-08-03 03:35:15
contraction_abcdef_gebc_dfga,72.3386,partial-timeout,1801.9,2026-08-03 04:05:17
contraction_abcdef_gfab_degc,57.5922,partial-timeout,1801.9,2026-08-03 04:35:19
contraction_abcdef_gfac_degb,62.3808,partial-timeout,1801.9,2026-08-03 05:05:21
contraction_abcdef_gfbc_dega,68.3141,partial-timeout,1801.9,2026-08-03 05:35:23
