name,gflops,status,seconds,timestamp
contraction_abc_bda_dc,93.7041,ok,4.2,2026-07-08 22:28:29
contraction_abc_dca_bd,34.0537,ok,10.1,2026-07-08 22:28:39
contraction_abcd_dbea_ec,95.5819,ok,5.7,2026-07-08 22:28:45
contraction_abcd_deca_be,31.5596,ok,12.5,2026-07-08 22:28:57
contraction_abcd_ebad_ce,360.1574,ok,2.0,2026-07-08 22:28:59
contraction_abcde_efbad_cf,114.8444,ok,6.4,2026-07-08 22:29:06
contraction_abcde_ecbfa_fd,103.9796,ok,9.5,2026-07-08 22:29:15
contraction_abcde_efcad_bf,113.4464,ok,6.5,2026-07-08 22:29:22
contraction_abcd_ea_ebcd,1384.6034,ok,1.8,2026-07-08 22:29:23
contraction_abcd_eb_aecd,906.0304,ok,2.4,2026-07-08 22:29:26
contraction_abcd_ec_abed,748.4632,ok,2.6,2026-07-08 22:29:28
contraction_ab_ac_cb,3069.2513,ok,30.0,2026-07-08 22:29:58
contraction_ab_acd_dbc,1020.5689,ok,6.0,2026-07-08 22:30:05
contraction_ab_cad_dcb,1923.4996,ok,3.9,2026-07-08 22:30:08
contraction_abc_acd_db,3422.5526,ok,2.3,2026-07-08 22:30:11
contraction_abc_ad_bdc,2326.0982,ok,3.0,2026-07-08 22:30:14
contraction_abc_adc_bd,2814.0649,ok,2.7,2026-07-08 22:30:16
contraction_abc_adc_db,2852.2448,ok,2.6,2026-07-08 22:30:19
contraction_abc_adec_ebd,1009.8316,ok,2.2,2026-07-08 22:30:21
contraction_abcd_aebf_dfce,2989.2692,ok,37.4,2026-07-08 22:30:59
contraction_abcd_aebf_fdec,3376.3520,ok,32.9,2026-07-08 22:31:31
contraction_abcd_aecf_bfde,3059.0811,ok,35.7,2026-07-08 22:32:07
contraction_abcd_aecf_fbed,3255.6457,ok,33.5,2026-07-08 22:32:41
contraction_abcd_aedf_bfce,3121.4742,ok,34.9,2026-07-08 22:33:16
contraction_abcd_aedf_fbec,3234.5730,ok,33.3,2026-07-08 22:33:49
contraction_abcd_aefb_fdce,3063.5540,ok,35.0,2026-07-08 22:34:24
contraction_abcd_aefc_fbed,3259.3230,ok,33.4,2026-07-08 22:34:57
contraction_abcd_eafb_fdec,2921.6882,ok,41.2,2026-07-08 22:35:39
contraction_abcd_eafc_bfde,3059.5790,ok,39.6,2026-07-08 22:36:18
contraction_abcd_eafd_fbec,3287.6491,ok,38.4,2026-07-08 22:36:57
contraction_abcdef_dega_gfbc,830.3352,ok,1.2,2026-07-08 22:36:58
contraction_abcdef_degb_gfac,791.9306,ok,1.2,2026-07-08 22:36:59
contraction_abcdef_degc_gfab,792.9344,ok,1.2,2026-07-08 22:37:00
contraction_abcdef_dfga_gebc,823.2993,ok,1.2,2026-07-08 22:37:01
contraction_abcdef_dfgb_geac,792.2929,ok,1.2,2026-07-08 22:37:02
contraction_abcdef_dfgc_geab,792.7783,ok,1.2,2026-07-08 22:37:04
contraction_abcdef_efga_gdbc,828.6337,ok,1.1,2026-07-08 22:37:05
contraction_abcdef_efgb_gdac,793.2629,ok,1.2,2026-07-08 22:37:06
contraction_abcdef_efgc_gdab,793.4938,ok,1.2,2026-07-08 22:37:07
contraction_abcdef_gdab_efgc,793.2715,ok,1.2,2026-07-08 22:37:08
contraction_abcdef_gdac_efgb,793.9115,ok,1.2,2026-07-08 22:37:09
contraction_abcdef_gdbc_efga,792.8831,ok,1.2,2026-07-08 22:37:10
contraction_abcdef_geab_dfgc,792.7994,ok,1.2,2026-07-08 22:37:12
contraction_abcdef_geac_dfgb,793.1103,ok,1.1,2026-07-08 22:37:13
contraction_abcdef_gebc_dfga,791.3551,ok,1.2,2026-07-08 22:37:14
contraction_abcdef_gfab_degc,791.6020,ok,1.2,2026-07-08 22:37:15
contraction_abcdef_gfac_degb,762.2602,ok,1.2,2026-07-08 22:37:16
contraction_abcdef_gfbc_dega,806.2254,ok,1.1,2026-07-08 22:37:17
